id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
CAR-TANK-MUST,Cartier,Tank,Must,3500,33.7,6.6,Quartz,AF,,Quartz,,5.0,,https://img.chrono24.com/images/uhren/41438650-nq2a04i42r2fc75pfhbfth8a-Square280.jpg
CAR-TANK-MUST,Cartier,Tank,Must,3500,33.7,6.6,Quartz,F1F,,Quartz,,3.5,,https://img.chrono24.com/images/uhren/41438650-nq2a04i42r2fc75pfhbfth8a-Square280.jpg
CAR-TANK-MUST,Cartier,Tank,Must,3500,33.7,6.6,Quartz,K11F,,Quartz,,3.4,,https://img.chrono24.com/images/uhren/41438650-nq2a04i42r2fc75pfhbfth8a-Square280.jpg
CAR-TANK-FRAN,Cartier,Tank,Francaise,4000,25,6.65,Date,8848F,,Quartz,,3.5,,https://img.chrono24.com/images/uhren/40265221-9oxim781ysktdres4cfw1fi4-Square280.jpg
CAR-SANTOS-35ST,Cartier,Santos,35mm steel,6850,35,8.83,Date,V6F,,MY9015,,4.5,,https://www.net-a-porter.com/variants/images/19971654707113787/in/w2000_q80.jpg
CAR-SANTOS-35ST,Cartier,Santos,35mm steel,6850,35,8.83,Date,BVF,,MY9019,,3.5,,https://www.net-a-porter.com/variants/images/19971654707113787/in/w2000_q80.jpg
CAR-SANTOS-35ST,Cartier,Santos,35mm steel,6850,35,8.83,Date,3KF,,MY9015,,3.0,,https://www.net-a-porter.com/variants/images/19971654707113787/in/w2000_q80.jpg
CAR-SANTOS-35TT,Cartier,Santos,35mm Two-tone/gold,12300,35,9.08,Date,BVF,,MY9019,,4.5,,https://www.net-a-porter.com/variants/images/1647597282484292/in/w2000_q60.jpg
CAR-SANTOS-35TT,Cartier,Santos,35mm Two-tone/gold,12300,35,9.08,Date,3KF,,MY9015,,3.5,,https://www.net-a-porter.com/variants/images/1647597282484292/in/w2000_q60.jpg
CAR-SANTOS-40ST,Cartier,Santos,40mm Steel,8350,40,9.08,Date,BVF,,MY9019,,5.0,,https://img.chrono24.com/images/uhren/39844240-7f28nloulhv9dymtdgu8laoo-Square280.jpg
CAR-SANTOS-40ST,Cartier,Santos,40mm Steel,8350,40,9.08,Date,3KF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/39844240-7f28nloulhv9dymtdgu8laoo-Square280.jpg
CAR-SANTOS-40TT,Cartier,Santos,40mm Two-tone/gold,12500,40,9.08,Date,BVF,,MY9019,,4.5,,https://img.chrono24.com/images/uhren/30788826-0qacfzcx9njnytmtbj7kx9hp-ExtraLarge.jpg
CAR-SANTOS-40TT,Cartier,Santos,40mm Two-tone/gold,12500,40,9.08,Date,3KF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/30788826-0qacfzcx9njnytmtbj7kx9hp-ExtraLarge.jpg
IWC-BP-SS,IWC,Big Pilot,Big Pilot (SS),10000,46,15.5,Power Reserve,ZF,,A23J,,4.5,,https://maestro.rs/wp-content/uploads/2022/12/iwc-PILOTS-WATCH-big-43-IW329303-600x857.jpeg
IWC-BP-MIR,IWC,Big Pilot,Big Pilot Miramar,10500,46,15.0,"Date, Power Reserve",ZF,,A23J,,4.5,,https://www.beverlyhillswatch.com/blog/wp-content/uploads/2012/11/IWC-BIG-PILOT-MIRAMAR-IW501902.jpg
IWC-BP-ANN,IWC,Big Pilot,Big Pilot Annual Calendar,,46.2,15.5,"Annual Calendar, Date,Power Reserve",AZF,,A23J,,3.5,,https://www.watchguynyc.com/cdn/shop/products/IW0080_IW502702_IWC_Big_Pilot_Annual_Calender_1024x1024.jpg?v=1578454741
IWC-BP-TOUR,IWC,Big Pilot,Big Pilot Tourbillon,,46.2,13.5,Tourbillon,JBF,,Tourbillon,,4.5,,https://img.chrono24.com/images/uhren/41086569-vy41hxemd8svtrsj4m82ttok-Square280.jpg
IWC-BP-MKXVIII,IWC,Pilot,Mark XVIII and XX,5000,40,10.8,Date,V7F,,A2892,,4.5,Upgradeable to SW200,https://www.iwc.com/content/dam/rcq/iwc/15/29/55/4/1529554.png.adapt.1038.1384.medium.jpeg
IWC-BP-MKXVIII,IWC,Pilot,Mark XVIII and XX,5000,40,10.8,Date,M+F,,MY9015,,4.5,,https://www.iwc.com/content/dam/rcq/iwc/15/29/55/4/1529554.png.adapt.1038.1384.medium.jpeg
IWC-PL-MKXVIII,IWC,Pilot,Mark XVIII and XX,5000,40,10.8,Date,ZF,,MY9015,,4.5,,https://www.iwc.com/content/dam/rcq/iwc/15/29/55/4/1529554.png.adapt.1038.1384.medium.jpeg
IWC-BP-MKXVIIICer,IWC,Big Pilot,Mark XVIII and XX (Ceramic),14500,46,15.0,"Date, Power Reserve",M+F,,A2892,,4.5,,https://img.chrono24.com/images/uhren/gn9plvx87dl1-szzr528jdd8kyluzesqb8uup-Square280.jpg
IWC-PL-3878,IWC,Pilot,Spitfire Chrono 3878,5950,43,15.5,"Chronograph, Date",V6F,,A7750,,4.5,,https://img.chrono24.com/images/uhren/18320110-5480g74b4t2d5imdwyssjkx7-Square280.jpg
IWC-PL-3777,IWC,Pilot,Pilot Chrono 3777,5300,43,15.0,"Chronograph, Date",OF,,A7750,,4.5,,https://img.chrono24.com/images/uhren/42293678-m7dah2f6l2kv0v4xgh663mlu-Square280.jpg
IWC-PL-A7750,IWC,Pilot,Pilot Chrono 3777,5300,43,15.0,"Chronograph, Date",ZF,,A7750,,3.5,,https://img.chrono24.com/images/uhren/42293678-m7dah2f6l2kv0v4xgh663mlu-Square280.jpg
JLC-MUT-MP5,JLC,Master Ultra Thin,Moonphase,8950,39,9.9,"Date, Moonphase",ZF,v2,925 Clone,,4.5,5 stars on moonphase,https://img.chrono24.com/images/uhren/41338385-xlkup1a0ioueto1qidouyaiy-Square280.jpg
JLC-MUT-MP5,JLC,Master Ultra Thin,Moonphase,8950,39,9.9,"Date, Moonphase",IMF,,MY9015,,4.4,,https://img.chrono24.com/images/uhren/41338385-xlkup1a0ioueto1qidouyaiy-Square280.jpg
JLC-MUT-MPLS,JLC,Master Ultra Thin,Moonphase,12000,39,9.9,"Date, Moonphase",APSF,,925 Clone,,4.5,Lots of stars on moon,https://img.chrono24.com/images/uhren/41338385-xlkup1a0ioueto1qidouyaiy-Square280.jpg
JLC-MUT-MPLS,JLC,Master Ultra Thin,Moonphase,12000,39,9.9,"Date, Moonphase",IMF,,MY9015,,4.4,,https://img.chrono24.com/images/uhren/41338385-xlkup1a0ioueto1qidouyaiy-Square280.jpg
JLC-MUT-DATE,JLC,Master Ultra Thin,Date (at 6 o clock),7500,40,7.45,Date,IMF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/42293678-m7dah2f6l2kv0v4xgh663mlu-Square280.jpg
JLC-MUT-SMSEC,JLC,Master Ultra Thin,Small Seconds,8000,38.5,7.58,Small Seconds,APSF,,MY9015,,4.0,,https://img.chrono24.com/images/uhren/42187275-b492x0v7kbl2zotp1dxbid5e-Square280.jpg
